category,impact,description,priority
electricity,high,Issue with Street Light Not Working in Jnanabharathi Ward,0.73
electricity,high,Street Light Not Working issue in Rajarajeshwari Nagar area,0.72
electricity,high,Street Light Not Working problem in Manorayanapalya ward,0.73
waste_management,medium,Flex and banners issue in Jeevanbhima Nagar area,0.42
electricity,medium,Street Light Not Working reported in Rajarajeshwari Nagar,0.68
waste_management,medium,Issue with Garbage vehicle not arrived in Lakshmidevi Nagar,0.44
waste_management,medium,Complaint regarding Sweeping not done at J.P.Nagar,0.49
electricity,medium,Complaint regarding Street Light Not Working at Jaraganahalli,0.69
electricity,high,Street Light Not Working issue in Gandhi Nagar area,0.73
waste_management,medium,Garbage dump issue in Visvesvarapuram area,0.48
waste_management,medium,Burning of Garbage in Open Space problem in Horamavu ward,0.43
waste_management,low,Removal of dead/fallen trees issue in Kamakshipalya area,0.38
electricity,medium,Issue with Street Light Not Working in Kottigepalya,0.67
electricity,medium,Issue with Street Light Not Working in Marathalli,0.67
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Chikkalasandra,0.44
waste_management,low,Issue with Maintenance of SWD in Varthur,0.39
electricity,medium,Street Light Not Working problem in Ganeshmandira Ward ward,0.69
waste_management,medium,Garbage vehicle not arrived problem in Singasandra ward,0.51
electricity,high,Street Light Not Working problem in Konanakunte ward,0.73
electricity,high,Street Light Not Working issue in Vasanthapura area,0.74
waste_management,low,Road Infrastructure issue in Varthur area,0.35
waste_management,low,Ekhata - name correction reported in Horamavu,0.39
waste_management,medium,Garbage dump reported in Manorayanapalya,0.53
waste_management,medium,Complaint regarding Dengue positive at Ramaswamy Palya,0.42
waste_management,medium,Road Infrastructure issue in Horamavu area,0.45
waste_management,medium,Stray dog related complaints problem in Ramamurthy Nagar ward,0.41
waste_management,medium,Sewerage water left in SWD issue in Varthur area,0.42
waste_management,low,Road side drains reported in Byatarayanapura,0.37
waste_management,medium,Others issue in Varthur area,0.53
waste_management,medium,Lake not maintained properly issue in Basavanapura area,0.46
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Mahalakshmipuram,0.44
electricity,high,Street Light Not Working reported in Singasandra,0.73
waste_management,medium,Issue with Garbage dump in Vasanthapura,0.50
electricity,high,Street Light Not Working reported in Vidyaranyapura,0.70
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Agaram,0.44
waste_management,medium,Use of banned single use plastic problem in Doddanekkundi ward,0.50
waste_management,medium,Garbage vehicle not arrived reported in Jayangar,0.44
waste_management,medium,Issue with Lake not maintained properly in Basavanapura,0.45
waste_management,medium,Complaint regarding UnAuthorised Building Constructions at Subramanya Nagar,0.53
waste_management,medium,Construction not done as per approved plan (Building Bye Law Violations) issue in Subedarapalya area,0.46
waste_management,medium,Complaint regarding Garbage dump at Vijay Nagar,0.46
waste_management,low,obstructions Branches / Trees. issue in Basavanagudi area,0.40
waste_management,medium,Issue with Stray dog related complaints in Thanisandra,0.43
waste_management,medium,Public dustbins not cleaned reported in Ramamurthy Nagar,0.44
waste_management,medium,Issue with Footpath in Dharmarayaswamy Temple Ward,0.41
electricity,high,Street Light Not Working problem in Newthippasandra ward,0.72
waste_management,low,Issue with Garbage vehicle not arrived in Hoodi,0.36
waste_management,medium,Garbage dump reported in K.R.Market,0.62
waste_management,medium,Garbage vehicle not arrived reported in Ulsoor,0.40
waste_management,medium,Garbage vehicle not arrived problem in Vignana Nagar ward,0.41
waste_management,medium,Sweeping not done issue in Kempegowda Ward area,0.41
electricity,high,Issue with Street Light Not Working in Kadugondanahalli,0.71
electricity,medium,Street Light Not Working issue in Banaswadi area,0.66
electricity,high,Street Light Not Working problem in Kempegowda Ward ward,0.74
electricity,high,Street Light Not Working issue in Sunkenahalli area,0.73
electricity,high,Street Light Not Working problem in Hegganahalli ward,0.71
electricity,medium,Complaint regarding Street Light Not Working at Banaswadi,0.69
waste_management,medium,Garbage dump issue in Shanthala Nagar area,0.50
waste_management,low,Stray dog related complaints problem in Yelahanka old Satellite Town ward,0.38
waste_management,low,Removal of dead/fallen trees problem in J.P.Nagar ward,0.37
waste_management,medium,Issue with Lake not maintained properly in Basavanapura,0.46
waste_management,medium,Sweeping not done reported in Dattathreya Temple,0.41
electricity,medium,Street Light Not Working issue in Nagapura area,0.67
waste_management,medium,Maintenance of SWD issue in Basavanapura area,0.51
electricity,high,Street Light Not Working reported in Dr.Rajkumar Ward,0.70
electricity,high,Issue with Street Light Not Working in Vijay Nagar,0.74
waste_management,low,Complaint regarding Garbage vehicle not arrived at Banashankari Temple Ward,0.36
waste_management,medium,Issue with Footpath in Horamavu,0.42
waste_management,medium,Stray dog related complaints reported in Herohalli,0.41
waste_management,medium,Road side drains problem in Varthur ward,0.41
waste_management,medium,Issue with footpath encroachment in Varthur,0.44
waste_management,low,footpath encroachment problem in Varthur ward,0.40
waste_management,medium,Garbage vehicle not arrived issue in Banashankari Temple Ward area,0.45
parks_recreation,low,Complaint regarding Issues Related to Parks/Medians/Circles/Island. at Bapuji Nagar,0.38
waste_management,medium,Potholes reported in C.V.Raman Nagar,0.40
waste_management,medium,Stray dog related complaints reported in Peenya Industrial Area,0.43
waste_management,medium,Issue with Garbage dump in Lakkasandra,0.46
electricity,high,Street Light Not Working reported in Manorayanapalya,0.72
electricity,high,Issue with Street Light Not Working in Hongasandra,0.70
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Vasanthapura,0.43
waste_management,medium,Others reported in Lakkasandra,0.51
waste_management,low,Potholes issue in HAL Airport area,0.36
waste_management,low,Issue with Road Infrastructure in Bellandur,0.37
electricity,high,Street Light Not Working problem in Banaswadi ward,0.72
electricity,medium,Street Light Not Working problem in Ullalu ward,0.66
electricity,medium,Street Light Not Working reported in Ullalu,0.66
waste_management,medium,Others problem in Hemmigepura ward,0.53
electricity,high,Street Light Not Working reported in Rajagopala Nagar,0.71
electricity,medium,Street Light Not Working reported in Rajarajeshwari Nagar,0.67
electricity,medium,Street Light Not Working issue in Kavalbyrasandra area,0.69
waste_management,medium,Garbage dump reported in Dr.Rajkumar Ward,0.54
electricity,high,Street Light Not Working problem in Vijay Nagar ward,0.71
waste_management,low,Complaint regarding obstructions Branches / Trees. at Katriguppe,0.39
electricity,medium,Issue with Street Light Not Working in Byatarayanapura,0.70
electricity,medium,Street Light Not Working problem in Attiguppe ward,0.66
electricity,high,Street Light Not Working problem in Herohalli ward,0.73
electricity,high,Issue with Street Light Not Working in Thanisandra,0.75
electricity,high,Street Light Not Working reported in Padmanabha Nagar,0.71
waste_management,medium,Issue with Garbage dump in Ramamurthy Nagar,0.48
electricity,high,Street Light Not Working issue in Dr.Rajkumar Ward area,0.73
waste_management,medium,Garbage vehicle not arrived problem in Maruthi Seva Nagar ward,0.45
electricity,medium,Complaint regarding Street Light Not Working at Gottigere,0.69
waste_management,medium,Issue with Debris Removal / Construction Material in Rajarajeshwari Nagar,0.40
waste_management,medium,Complaint regarding Dead animal(s) at Vijanapura,0.42
waste_management,low,Debris Removal / Construction Material reported in Vidyaranyapura,0.40
waste_management,low,Issue with Spraying in Vannarpet,0.39
waste_management,medium,Issue with Debris Removal / Construction Material in Jnanabharathi Ward,0.49
electricity,high,Complaint regarding Street Light Not Working at BTM Layout,0.73
waste_management,low,Sweeping not done reported in Banaswadi,0.36
waste_management,medium,Garbage dump reported in Benniganahalli,0.51
waste_management,low,Removal of dead/fallen trees issue in Rajarajeshwari Nagar area,0.39
waste_management,medium,Complaint regarding Sweeping not done at Ganeshmandira Ward,0.41
waste_management,medium,Complaint regarding Road side drains at Hoodi,0.45
waste_management,medium,Issue with Animal caught disease post surgery in Anjanapur,0.40
waste_management,medium,Complaint regarding Other Khata / ekhata issues at Someshwara,0.41
waste_management,low,Complaint regarding Garbage vehicle not arrived at Vishwanathnagenahalli,0.36
electricity,medium,Issue with Street Light Not Working in Sanjay Nagar,0.65
electricity,medium,Complaint regarding Open Electrical Junction Box at Mangammanapalya,0.61
waste_management,medium,Ekhata missing in online problem in Someshwara ward,0.43
waste_management,low,footpath encroachment problem in Jayangar ward,0.39
waste_management,medium,Garbage dumping in vacant sites problem in Kadugondanahalli ward,0.54
waste_management,medium,obstructions Branches / Trees. reported in Chikkalasandra,0.45
waste_management,medium,Ekhata Area Correction issue in Vijay Nagar area,0.41
waste_management,medium,Garbage vehicle not arrived issue in Shanthala Nagar area,0.41
waste_management,medium,Issue with Ekhata missing in online in Hemmigepura,0.40
waste_management,medium,Issue with Dead animal(s) in Sampangiram Nagar,0.45
electricity,high,Street Light Not Working issue in Begur area,0.74
electricity,high,Issue with Street Light Not Working in HBR Layout,0.72
sanitation,medium,Complaint regarding Urination in Public/Open Defecation at Basavanapura,0.56
waste_management,medium,Garbage dump problem in Vannarpet ward,0.51
waste_management,medium,Issue with obstructions Branches / Trees. in BTM Layout,0.43
waste_management,medium,Garbage thrown in storm water drain problem in Basavanapura ward,0.53
waste_management,low,Garbage vehicle not arrived reported in Banaswadi,0.36
electricity,medium,Street Light Not Working problem in Ramamurthy Nagar ward,0.66
electricity,high,Complaint regarding Street Light Not Working at Hebbal,0.73
electricity,high,Issue with Street Light Not Working in Chokkasandra,0.74
waste_management,medium,Complaint regarding Road side drains at Rajarajeshwari Nagar,0.43
electricity,high,Street Light Not Working problem in Kavalbyrasandra ward,0.73
waste_management,low,Issue with Road Infrastructure in Bellandur,0.37
waste_management,low,Complaint regarding Stray/Rabid dog bite at Sarvagna Nagar,0.39
electricity,high,Complaint regarding Street Light Not Working at Konena Agrahara,0.73
waste_management,low,Issue with Unhygienic premises in Hotel etc in Vidyaranyapura,0.36
waste_management,medium,obstructions Branches / Trees. issue in Konena Agrahara area,0.41
waste_management,medium,Complaint regarding water stagnation at Begur,0.54
waste_management,medium,Complaint regarding Maintenance of SWD at Newthippasandra,0.51
waste_management,low,Issue with Road side drains in Varthur,0.35
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Nagapura,0.41
waste_management,medium,Road side drains issue in Konena Agrahara area,0.50
waste_management,medium,Road side drains issue in Mangammanapalya area,0.50
waste_management,low,Complaint regarding obstructions Branches / Trees. at Jaraganahalli,0.38
waste_management,medium,Issue with Garbage vehicle not arrived in Sampangiram Nagar,0.45
